station_id,capacity,area_cluster,lat,lon,name
1,31,6,53.340927,-6.262501,CLARENDON ROW
2,20,1,53.35677,-6.26814,BLESSINGTON STREET
3,20,1,53.35118,-6.269859,BOLTON STREET
4,20,4,53.346874,-6.272976,GREEK STREET
5,40,0,53.33066,-6.260177,CHARLEMONT PLACE
6,20,4,53.34337,-6.27012,CHRISTCHURCH PLACE
7,29,4,53.343567,-6.275071,HIGH STREET
8,30,8,53.347885,-6.248048,CUSTOM HOUSE QUAY
9,24,6,53.343033,-6.263578,EXCHEQUER STREET
10,16,6,53.344006,-6.266802,DAME STREET
11,30,0,53.334293,-6.258503,EARLSFORT TERRACE
12,20,1,53.359245,-6.269779,ECCLES STREET
13,30,2,53.336075,-6.252825,FITZWILLIAM SQUARE WEST
14,30,6,53.344604,-6.263371,FOWNES STREET UPPER
15,16,1,53.355473,-6.264423,HARDWICKE STREET
16,20,8,53.347507,-6.252192,GEORGES QUAY
17,20,6,53.3408,-6.267732,GOLDEN LANE
18,30,0,53.33412,-6.265436,GRANTHAM STREET
19,30,2,53.33443,-6.245575,HERBERT PLACE
20,30,2,53.336597,-6.248109,JAMES STREET EAST
21,30,6,53.34218,-6.254485,LEINSTER STREET SOUTH
22,20,8,53.34592,-6.254614,TOWNSEND STREET
23,30,8,53.348278,-6.254662,CUSTOM HOUSE
24,20,7,53.35215,-6.260533,CATHAL BRUGHA STREET
25,30,2,53.339436,-6.246548,MERRION SQUARE EAST
26,20,2,53.339764,-6.251988,MERRION SQUARE WEST
27,20,6,53.34129,-6.258117,MOLESWORTH STREET
28,30,7,53.3563,-6.258586,MOUNTJOY SQUARE WEST
29,29,1,53.346058,-6.268001,ORMOND QUAY UPPER
30,20,1,53.35374,-6.265301,PARNELL SQUARE NORTH
31,20,1,53.35093,-6.265125,PARNELL STREET
32,30,8,53.344303,-6.2504272,PEARSE STREET
33,23,7,53.349014,-6.260311,PRINCES STREET / O'CONNELL STREET
34,30,0,53.33036,-6.265163,PORTOBELLO HARBOUR
35,30,4,53.34769,-6.278214,SMITHFIELD
36,40,6,53.337826,-6.256035,ST. STEPHEN'S GREEN EAST
37,30,6,53.337494,-6.26199,ST. STEPHEN'S GREEN SOUTH
38,40,8,53.350975,-6.25294,TALBOT STREET
39,20,2,53.332382,-6.252717,WILTON TERRACE
40,21,1,53.3483,-6.266651,JERVIS STREET
41,20,0,53.332764,-6.257942,HARCOURT TERRACE
42,30,4,53.349564,-6.2781982,SMITHFIELD NORTH
43,30,0,53.33009,-6.268044,PORTOBELLO ROAD
44,30,7,53.358437,-6.260641,UPPER SHERRARD STREET
45,30,7,53.351463,-6.255265,DEVERELL PLACE
47,40,2,53.335743,-6.24551,HERBERT STREET
48,40,8,53.34778,-6.244239,EXCISE WALK
49,40,5,53.34793,-6.240928,GUILD STREET
50,40,4,53.35023,-6.279696,GEORGES LANE
51,40,6,53.339333,-6.264699,YORK STREET WEST
52,32,6,53.338757,-6.262003,YORK STREET EAST
53,40,6,53.33713,-6.26059,NEWMAN HOUSE
54,33,0,53.33602,-6.26298,CLONMEL STREET
55,36,0,53.33403,-6.260714,HATCH STREET
56,40,2,53.33796,-6.24153,MOUNT STREET LOWER
57,23,2,53.33963,-6.243778,GRATTAN STREET
58,40,2,53.33922,-6.240642,SIR PATRICK DUN'S
59,20,7,53.35561,-6.261397,DENMARK STREET GREAT
60,30,7,53.359623,-6.260348,NORTH CIRCULAR ROAD
61,25,7,53.357044,-6.263232,HARDWICKE PLACE
62,40,8,53.346027,-6.243576,LIME STREET
63,35,2,53.341427,-6.24672,FENIAN STREET
64,40,8,53.345203,-6.247163,SANDWITH STREET
65,40,5,53.34744,-6.238523,CONVENTION CENTRE
66,40,5,53.347122,-6.234749,NEW CENTRAL BANK
67,40,5,53.346867,-6.230852,THE POINT
68,40,5,53.344116,-6.237153,HANOVER QUAY
69,40,5,53.342636,-6.238695,GRAND CANAL DOCK
71,40,0,53.337757,-6.2676992,KEVIN STREET
72,31,4,53.343105,-6.277167,JOHN STREET WEST
73,30,4,53.34208,-6.275233,FRANCIS STREET
74,30,4,53.34389,-6.280531,OLIVER BOND STREET
75,40,3,53.343456,-6.287409,JAMES STREET
76,38,3,53.342297,-6.287661,MARKET STREET SOUTH
77,29,1,53.348873,-6.267459,WOLFE TONE STREET
78,40,1,53.359966,-6.264828,MATER HOSPITAL
79,27,1,53.358116,-6.265601,ECCLES STREET EAST
80,40,3,53.34136,-6.292951,ST JAMES HOSPITAL (LUAS)
82,22,3,53.341644,-6.29719,MOUNT BROWN
83,40,3,53.340714,-6.308191,EMMET ROAD
84,30,3,53.339005,-6.300217,BROOKFIELD ROAD
85,35,3,53.338776,-6.30395,ROTHE ABBEY
86,38,3,53.347973,-6.291804,PARKGATE STREET
87,38,4,53.347477,-6.28525,COLLINS BARRACKS MUSEUM
88,30,4,53.3488,-6.281637,BLACKHALL PLACE
89,40,2,53.335213,-6.2509,FITZWILLIAM SQUARE EAST
90,40,5,53.344154,-6.233451,BENSON STREET
91,30,5,53.34183,-6.231291,SOUTH DOCK ROAD
92,40,3,53.3478,-6.292432,HEUSTON BRIDGE (NORTH)
93,40,3,53.346603,-6.296924,HEUSTON STATION (CENTRAL)
94,40,3,53.346985,-6.297804,HEUSTON STATION (CAR PARK)
95,40,3,53.3439,-6.29706,ROYAL HOSPITAL
96,30,3,53.341805,-6.305085,KILMAINHAM LANE
97,40,3,53.342113,-6.310015,KILMAINHAM GAOL
98,40,6,53.341515,-6.256853,FREDERICK STREET SOUTH
99,30,8,53.346638,-6.246154,CITY QUAY
100,25,3,53.347107,-6.292041,HEUSTON BRIDGE (SOUTH)
101,30,4,53.350292,-6.273507,KING STREET NORTH
102,40,1,53.35493,-6.269425,WESTERN WAY
103,40,9,53.354664,-6.278681,GRANGEGORMAN LOWER (SOUTH)
104,40,9,53.35517,-6.278424,GRANGEGORMAN LOWER (CENTRAL)
105,36,9,53.355953,-6.278378,GRANGEGORMAN LOWER (NORTH)
106,40,9,53.35893,-6.280337,RATHDOWN ROAD
107,40,9,53.359158,-6.281866,CHARLEVILLE ROAD
108,35,9,53.359406,-6.276142,AVONDALE ROAD
109,29,8,53.353333,-6.249319,BUCKINGHAM STREET LOWER
110,40,9,53.356308,-6.273717,PHIBSBOROUGH ROAD
111,40,7,53.356716,-6.256359,MOUNTJOY SQUARE EAST
112,30,7,53.35784,-6.251557,NORTH CIRCULAR ROAD (O'CONNELL'S)
113,40,2,53.338615,-6.248606,MERRION SQUARE SOUTH
114,40,2,53.333652,-6.248345,WILTON TERRACE (PARK)
115,30,8,53.354843,-6.247579,KILLARNEY STREET
116,30,1,53.3547,-6.272314,BROADSTONE
117,40,5,53.343655,-6.231755,HANOVER QUAY EAST
